Geographic Area Name,year,Estimate!!Total,Spanish,French (incl. Cajun),Haitian,Italian,Portuguese,German,"Yiddish, Pennsylvania Dutch or other West Germanic languages",Greek,Russian,Polish,Serbo-Croatian,Ukrainian or other Slavic languages,Armenian,"Persian (incl. Farsi, Dari)",Gujarati,Hindi,Urdu,Punjabi,Bengali,"Nepali, Marathi, or other Indic languages",Other Indo-European languages,Telugu,Tamil,"Malayalam, Kannada, or other Dravidian languages","Chinese (incl. Mandarin, Cantonese)",Japanese,Korean,Hmong,Vietnamese,Khmer,"Thai, Lao, or other Tai-Kadai languages",Other languages of Asia,Tagalog (incl. Filipino),"Ilocano, Samoan, Hawaiian, or other Austronesian languages",Arabic,Hebrew,"Amharic, Somali, or other Afro-Asiatic languages","Yoruba, Twi, Igbo, or other languages of Western Africa","Swahili or other languages of Central, Eastern, and Southern Africa",Navajo,Other Native languages of North America,Other and unspecified languages,Estimate!!Total:
Idaho,2017,1543263.0,123817,3054,33,697,1478,4348,824,125,1461,269,2318,1043,40,600,107,853,275,126,75,748,1646,215,352,54,4542,1363,912,118,1274,72,886,931,1841,1018,2659,142,164,358,1298,202,2394,682,
Illinois,2017,12068966.0,1608654,35458,4848,33295,7226,38065,6605,31635,42043,179243,29527,36706,2003,6883,46315,43862,48405,5637,5801,16144,47649,21207,13228,17148,102953,13643,43305,465,22523,3236,11691,12799,83021,6309,67644,5570,19475,22525,6450,22,1129,5884,
Indiana,2017,6196089.0,288236,10406,1910,3226,2607,30446,26562,3414,4311,4095,5286,4562,95,1464,3416,7093,3661,5818,1566,3022,3650,4364,2898,1777,26486,6050,7371,396,6425,666,2131,13699,8349,2257,10399,940,2554,7034,2734,94,434,1567,
Iowa,2017,2921617.0,115267,5067,515,981,1299,11483,4334,409,1878,514,8769,1403,55,331,934,2827,662,355,757,2797,1700,2475,1195,694,11798,1381,2964,844,7939,663,5441,5342,2658,1634,6462,358,2263,1226,3908,0,1115,722,
Kansas,2017,2706994.0,205710,4077,384,732,1942,10599,2152,274,2874,383,734,678,24,1249,1110,3965,1732,908,1261,2529,1273,3672,1415,735,10749,2226,3756,1441,12796,1337,5048,2512,3985,1691,4872,308,3380,1140,3315,208,1019,676,
Kentucky,2017,4150236.0,107735,7243,1082,1006,1121,13752,6278,659,3036,640,4622,1347,73,1557,2592,2927,1655,379,459,4777,1921,1704,1109,790,7215,4598,3283,54,4628,1152,1497,3708,3894,1270,8371,372,4197,2370,3481,108,654,1071,
Louisiana,2017,4353030.0,161384,95648,7237,1914,2897,4947,753,938,1281,505,973,830,136,817,1189,2750,2458,568,527,2278,1189,999,776,466,9266,1461,2938,72,29008,716,2770,892,4594,1205,9426,471,691,1264,1242,107,669,905,
Maine,2017,1265764.0,11186,37126,320,1012,1323,2959,612,831,1139,654,461,525,39,445,220,412,163,0,37,416,1187,247,86,31,3468,494,432,0,1213,1237,331,305,1431,376,2302,137,2437,362,1214,21,1087,737,
Maryland,2017,5629329.0,436910,50331,14874,8650,11325,16126,3988,9792,21676,4326,2077,4568,1709,14120,10810,19405,20664,6642,7867,12850,6951,8251,7150,5200,68633,6198,39347,99,21276,2234,4887,10068,33226,4563,18125,6667,26598,47120,9742,190,418,10424,
Massachusetts,2017,6426464.0,564401,54399,77930,32968,184962,15938,3986,22868,39182,16762,4605,8073,7077,6167,10324,21610,7528,3229,6530,14474,24265,8658,9374,5312,129412,9344,16205,522,40633,22950,5691,8987,8099,2491,33313,6996,10669,16111,15251,2,1070,7129,
Michigan,2017,9353569.0,273148,20789,1634,15882,4713,33685,10030,6984,11353,19209,12490,11735,2425,3748,8912,18381,13057,6164,18532,9855,33603,12669,8179,8060,49002,12252,15732,4845,13747,1070,4332,4453,15737,2473,135336,2003,32050,6518,4450,31,2814,5198,
Minnesota,2017,5140764.0,196279,14082,1336,1962,3145,19525,2915,1023,14050,2561,4419,4676,110,2043,1922,7313,2981,835,1721,5116,8185,6532,4265,2999,23366,3781,5815,61911,22918,6966,10180,13924,7001,2356,12724,1129,69509,11658,9589,15,5510,5031,
Mississippi,2017,2795365.0,67282,3758,120,590,718,2986,676,187,656,326,43,121,0,301,732,1544,467,1026,360,1294,272,449,160,284,3489,903,1756,32,6102,320,489,255,2968,310,2828,171,449,483,170,12,3860,288,
Missouri,2017,5702159.0,146225,11293,762,3309,2973,19680,10043,1071,7444,1580,12008,2069,216,1692,2796,5675,4856,778,1404,4242,4577,4290,2025,1901,20573,2604,6618,1224,13727,924,1847,2977,7482,3611,11479,1076,5868,3562,4733,133,805,1374,
Montana,2017,968644.0,13551,1797,54,501,299,6420,687,71,619,222,110,218,4,124,0,21,17,4,24,243,659,50,0,18,1194,477,592,18,224,3,273,121,1008,313,457,370,46,126,83,163,6335,331,
Nebraska,2017,1763094.0,131614,3997,186,787,947,4484,497,308,1377,596,959,1301,33,875,179,1609,324,337,477,3104,1868,1387,803,609,5096,1323,1575,215,7550,81,1593,5168,1353,909,5299,55,3304,894,2430,5,945,601,
Nevada,2017,2706518.0,575226,7970,535,4098,3840,8375,1390,1602,4902,1889,3594,4007,3264,4416,865,3599,1567,1984,1220,2158,3900,964,817,900,28617,6301,11739,80,9055,1084,7632,1794,79449,9680,5698,2417,10534,1001,1575,810,1917,2224,
New Hampshire,2017,1267615.0,27171,19845,668,1471,3415,3625,747,2233,1711,1253,1549,974,141,269,1135,1530,681,180,473,3333,1743,2068,1340,721,5601,594,1424,13,2121,682,1117,436,1615,1093,3396,495,159,533,1268,0,80,593,
New Jersey,2017,8433445.0,1360981,35097,48073,67373,76347,21016,9975,21948,47543,59136,8811,22095,4983,6890,81103,74912,29874,16583,24926,22202,22183,31104,24295,17269,121495,10036,78324,22,19015,995,2930,18627,79417,5326,67451,15291,4196,31633,6456,17,741,15295,
