ISO_639,Language_Name,Uninverted_Name,Country_Code,Country_Name,Region_Code,Region_Name,Area,L1_Users,Digits,All_Users,Countries,Family,Classification,Latitude,Longitude,EGIDS,Is_Written,Institutional,Developing,Vigorous,In_Trouble,Dying,Extinct
aau,Abau,Abau,PG,Papua New Guinea,MEL,Melanesia,Pacific,7270,4,7270,1,Sepik,"Sepik, Abau",-4.0435,141.1828,5,T,0,1,0,0,0,0
aaw,Solong,Solong,PG,Papua New Guinea,MEL,Melanesia,Pacific,2200,4,2200,1,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero-Vitiaz, Vitiaz, Southwest New Britain, Arawe-Pasismanua, Arawe, West Arawe",-5.9064,148.8789,4,T,1,0,0,0,0,0
aax,Mandobo Atas,Mandobo Atas,ID,Indonesia,SEA,South-Eastern Asia,Asia,10000,5,10000,1,Trans-New Guinea,"Trans-New Guinea, Ok-Awyu, Awyu-Dumut, Dumut",-6.0037,140.5152,6a,F,0,0,1,0,0,0
aaz,Amarasi,Amarasi,ID,Indonesia,SEA,South-Eastern Asia,Asia,70000,5,70000,1,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Timor-Babar, Nuclear Timor, Uab Meto",-10.2341,123.8968,5,T,0,1,0,0,0,0
aba,Abé,Abé,CI,Côte d’Ivoire,WAF,Western Africa,Africa,170000,6,170000,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Agneby",5.9187,-4.2909,5,T,0,1,0,0,0,0
abb,Bankon,Bankon,CM,Cameroon,MAF,Middle Africa,Africa,12000,5,12000,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Northwest, A, Basaa (A.42)",4.3782,9.6498,6b,F,0,0,0,1,0,0
abc,"Ayta, Ambala",Ambala Ayta,PH,Philippines,SEA,South-Eastern Asia,Asia,1660,4,1660,1,Austronesian,"Austronesian, Malayo-Polynesian, Philippine, Central Luzon, Sambalic",14.8626,120.285,6a,T,0,0,1,0,0,0
abd,Manide,Manide,PH,Philippines,SEA,South-Eastern Asia,Asia,3800,4,3800,1,Austronesian,"Austronesian, Malayo-Polynesian, Philippine, Greater Central Philippine, Umiray Dumaget",14.1574,122.8341,6a,F,0,0,1,0,0,0
abe,"Abenaki, Western",Western Abenaki,CA,Canada,NAM,Northern America,Americas,14,2,14,2,Algic,"Algic, Algonquian, Eastern Algonquian, Abenaki",46.1883,-72.6183,8b,T,0,0,0,0,1,0
abf,Abai Sungai,Abai Sungai,MY,Malaysia,SEA,South-Eastern Asia,Asia,,,,1,Austronesian,"Austronesian, Malayo-Polynesian, North Borneo, Sabahan, Paitanic",5.6835,118.3747,7,F,0,0,0,1,0,0
abg,Abaga,Abaga,PG,Papua New Guinea,MEL,Melanesia,Pacific,5,1,5,1,Trans-New Guinea,"Trans-New Guinea, Madang, Kalam-Kobon",-6.1094,145.6621,8b,F,0,0,0,0,1,0
abh,"Arabic, Tajiki Spoken",Tajiki Spoken Arabic,TJ,Tajikistan,CAS,Central Asia,Asia,6000,4,6000,2,Afro-Asiatic,"Afro-Asiatic, Semitic, Central, South, Arabic",37.3458,68.1508,6a,T,0,0,1,0,0,0
abi,Abidji,Abidji,CI,Côte d’Ivoire,WAF,Western Africa,Africa,50500,5,50500,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Agneby",5.6373,-4.5806,5,T,0,1,0,0,0,0
abj,Aka-Bea,Aka-Bea,IN,India,SAS,Southern Asia,Asia,0,0,0,1,Andamanese,"Andamanese, Great Andamanese, Central",11.6374,92.6189,x10,F,0,0,0,0,0,1
abk,Abkhaz,Abkhaz,GE,Georgia,WAS,Western Asia,Asia,152740,6,152740,2,North Caucasian,"North Caucasian, West Caucasian, Abkhaz-Abazin",43.2923,40.7618,2,T,1,0,0,0,0,0
abl,Lampung Nyo,Lampung Nyo,ID,Indonesia,SEA,South-Eastern Asia,Asia,180000,6,180000,1,Austronesian,"Austronesian, Malayo-Polynesian, Lampung",-4.4888,105.2988,6a,T,0,0,1,0,0,0
abm,Abanyom,Abanyom,NG,Nigeria,WAF,Western Africa,Africa,12500,5,12500,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Ekoid, Bakor",6.2469,8.657,6a,F,0,0,1,0,0,0
abn,Abua,Abua,NG,Nigeria,WAF,Western Africa,Africa,25000,5,25000,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Central Delta, Abua-Odual",4.8184,6.6288,6a,T,0,0,1,0,0,0
abo,Abon,Abon,NG,Nigeria,WAF,Western Africa,Africa,1000,4,1000,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Tivoid",6.9886,10.8077,6a,F,0,0,1,0,0,0
abp,"Ayta, Abellen",Abellen Ayta,PH,Philippines,SEA,South-Eastern Asia,Asia,3000,4,3000,1,Austronesian,"Austronesian, Malayo-Polynesian, Philippine, Central Luzon, Sambalic",15.41,120.1964,5,T,0,1,0,0,0,0
abq,Abaza,Abaza,RU,Russian Federation,EEU,Eastern Europe,Europe,49800,5,49800,2,North Caucasian,"North Caucasian, West Caucasian, Abkhaz-Abazin",44.2217,41.8895,5,T,0,1,0,0,0,0
abr,Abron,Abron,GH,Ghana,WAF,Western Africa,Africa,1303000,7,1303000,2,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Tano, Central, Akan",7.6286,-2.1197,5,T,0,1,0,0,0,0
abs,"Malay, Ambonese",Ambonese Malay,ID,Indonesia,SEA,South-Eastern Asia,Asia,245020,6,1645020,1,Creole,"Creole, Malay based",-3.4019,128.551,3,T,1,0,0,0,0,0
abt,Ambulas,Ambulas,PG,Papua New Guinea,MEL,Melanesia,Pacific,44000,5,44000,1,Sepik,"Sepik, Ndu",-3.7895,143.0891,5,T,0,1,0,0,0,0
abu,Abure,Abure,CI,Côte d’Ivoire,WAF,Western Africa,Africa,55100,5,55100,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Tano, Western",5.2547,-3.4632,6a,T,0,0,1,0,0,0
abv,"Arabic, Baharna Spoken",Baharna Spoken Arabic,BH,Bahrain,WAS,Western Asia,Asia,410000,6,410000,2,Afro-Asiatic,"Afro-Asiatic, Semitic, Central, South, Arabic",25.942,50.5521,3,T,1,0,0,0,0,0
abw,Pal,Pal,PG,Papua New Guinea,MEL,Melanesia,Pacific,1160,4,1160,1,Trans-New Guinea,"Trans-New Guinea, Madang, Croisilles, Pihom, Omosan",-4.8827,145.2351,6a,F,0,0,1,0,0,0
abx,Inabaknon,Inabaknon,PH,Philippines,SEA,South-Eastern Asia,Asia,26400,5,26400,1,Austronesian,"Austronesian, Malayo-Polynesian, Greater Barito, Sama-Bajaw, Abaknon",12.4286,124.1643,4,T,1,0,0,0,0,0
aby,Aneme Wake,Aneme Wake,PG,Papua New Guinea,MEL,Melanesia,Pacific,650,3,650,1,Trans-New Guinea,"Trans-New Guinea, Southeast Papuan, Yareban",-9.7963,148.5325,5,T,0,1,0,0,0,0
abz,Abui,Abui,ID,Indonesia,SEA,South-Eastern Asia,Asia,16000,5,16000,1,Trans-New Guinea,"Trans-New Guinea, West, Timor-Alor-Pantar, Alor-Pantar, Alor",-8.3108,124.5938,6a,F,0,0,1,0,0,0
aca,Achagua,Achagua,CO,Colombia,SAM,South America,Americas,250,3,250,1,Maipurean,"Maipurean, Northern, Upper Amazon, Western Nawiki, Piapoco",4.3739,-72.1966,6b,T,0,0,0,1,0,0
acb,Áncá,Áncá,NG,Nigeria,WAF,Western Africa,Africa,,,,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Unclassified",6.6638,11.1092,6a,F,0,0,1,0,0,0
acd,Gikyode,Gikyode,GH,Ghana,WAF,Western Africa,Africa,10400,5,10400,1,Niger-Congo,"Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Tano, Guang, North Guang",8.3828,0.5625,5,T,0,1,0,0,0,0
ace,Aceh,Aceh,ID,Indonesia,SEA,South-Eastern Asia,Asia,3500032,7,3500032,1,Austronesian,"Austronesian, Malayo-Polynesian, Malayo-Chamic, Chamic, Acehnese",4.5112,95.8965,5,T,0,1,0,0,0,0
