state,year,total_pop,languageRank1,numSpeakers1,languageRank2,numSpeakers2,languageRank3,numSpeakers3,languageRank4,numSpeakers4,languageRank5,numSpeakers5
Puerto Rico,2016,3345832,Spanish,3155521,"Chinese (incl. Mandarin, Cantonese)",1206,French (incl. Cajun),1186,Italian,661,Portuguese,560
Alabama,2017,4558608,Spanish,146478,"Chinese (incl. Mandarin, Cantonese)",10517,Korean,8739,German,7841,Vietnamese,7342
Alaska,2017,684298,Other Native languages of North America,29921,Spanish,23226,Tagalog (incl. Filipino),16726,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",5631,Russian,5289
Arizona,2017,6375189,Spanish,1308293,Navajo,82691,"Chinese (incl. Mandarin, Cantonese)",31733,Other Native languages of North America,27074,Tagalog (incl. Filipino),24419
Arkansas,2017,2787800,Spanish,146666,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",5752,"Chinese (incl. Mandarin, Cantonese)",5538,German,4757,Vietnamese,4536
California,2017,36489302,Spanish,10486447,"Chinese (incl. Mandarin, Cantonese)",1180602,Tagalog (incl. Filipino),795154,Vietnamese,547165,Korean,367658
Colorado,2017,5102269,Spanish,603303,German,24263,"Chinese (incl. Mandarin, Cantonese)",23941,Vietnamese,20197,French (incl. Cajun),16585
Connecticut,2017,3408290,Spanish,398297,Portuguese,35769,Polish,33862,Italian,29979,"Chinese (incl. Mandarin, Cantonese)",29471
Delaware,2017,888450,Spanish,60881,"Chinese (incl. Mandarin, Cantonese)",7582,Haitian,3054,"Yoruba, Twi, Igbo, or other languages of Western Africa",2882,French (incl. Cajun),2690
District of Columbia,2017,628784,Spanish,56512,French (incl. Cajun),9076,"Amharic, Somali, or other Afro-Asiatic languages",6532,"Chinese (incl. Mandarin, Cantonese)",5209,German,2671
Florida,2017,19173085,Spanish,4078350,Haitian,403839,French (incl. Cajun),105435,Portuguese,102147,"Chinese (incl. Mandarin, Cantonese)",72433
Georgia,2017,9544207,Spanish,763901,Vietnamese,47037,"Chinese (incl. Mandarin, Cantonese)",47036,Korean,46266,French (incl. Cajun),38085
Hawaii,2017,1330241,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",123177,Tagalog (incl. Filipino),58455,Japanese,45415,"Chinese (incl. Mandarin, Cantonese)",33285,Spanish,27328
Idaho,2017,1543263,Spanish,123817,"Chinese (incl. Mandarin, Cantonese)",4542,German,4348,French (incl. Cajun),3054,Arabic,2659
Illinois,2017,12068966,Spanish,1608654,Polish,179243,"Chinese (incl. Mandarin, Cantonese)",102953,Tagalog (incl. Filipino),83021,Arabic,67644
Indiana,2017,6196089,Spanish,288236,German,30446,"Yiddish, Pennsylvania Dutch or other West Germanic languages",26562,"Chinese (incl. Mandarin, Cantonese)",26486,Other languages of Asia,13699
