"Column Name","Label"
"B16001_111E","Estimate!!Total!!Amharic, Somali, or other Afro-Asiatic languages"
"B16001_111M","Margin of Error!!Total!!Amharic, Somali, or other Afro-Asiatic languages"
"B16001_112E","Estimate!!Total!!Amharic, Somali, or other Afro-Asiatic languages!!Speak English "very well""
"B16001_112M","Margin of Error!!Total!!Amharic, Somali, or other Afro-Asiatic languages!!Speak English "very well""
"B16001_113E","Estimate!!Total!!Amharic, Somali, or other Afro-Asiatic languages!!Speak English less than "very well""
"B16001_113M","Margin of Error!!Total!!Amharic, Somali, or other Afro-Asiatic languages!!Speak English less than "very well""
"B16001_114E","Estimate!!Total!!Yoruba, Twi, Igbo, or other languages of Western Africa"
"B16001_114M","Margin of Error!!Total!!Yoruba, Twi, Igbo, or other languages of Western Africa"
"B16001_115E","Estimate!!Total!!Yoruba, Twi, Igbo, or other languages of Western Africa!!Speak English "very well""
"B16001_115M","Margin of Error!!Total!!Yoruba, Twi, Igbo, or other languages of Western Africa!!Speak English "very well""
"B16001_116E","Estimate!!Total!!Yoruba, Twi, Igbo, or other languages of Western Africa!!Speak English less than "very well""
"B16001_116M","Margin of Error!!Total!!Yoruba, Twi, Igbo, or other languages of Western Africa!!Speak English less than "very well""
"B16001_117E","Estimate!!Total!!Swahili or other languages of Central, Eastern, and Southern Africa"
"B16001_117M","Margin of Error!!Total!!Swahili or other languages of Central, Eastern, and Southern Africa"
"B16001_118E","Estimate!!Total!!Swahili or other languages of Central, Eastern, and Southern Africa!!Speak English "very well""
"B16001_118M","Margin of Error!!Total!!Swahili or other languages of Central, Eastern, and Southern Africa!!Speak English "very well""
"B16001_119E","Estimate!!Total!!Swahili or other languages of Central, Eastern, and Southern Africa!!Speak English less than "very well""
"B16001_119M","Margin of Error!!Total!!Swahili or other languages of Central, Eastern, and Southern Africa!!Speak English less than "very well""
"B16001_120E","Estimate!!Total!!Navajo"
"B16001_120M","Margin of Error!!Total!!Navajo"
"B16001_121E","Estimate!!Total!!Navajo!!Speak English "very well""
"B16001_121M","Margin of Error!!Total!!Navajo!!Speak English "very well""
"B16001_122E","Estimate!!Total!!Navajo!!Speak English less than "very well""
"B16001_122M","Margin of Error!!Total!!Navajo!!Speak English less than "very well""
"B16001_123E","Estimate!!Total!!Other Native languages of North America"
"B16001_123M","Margin of Error!!Total!!Other Native languages of North America"
"B16001_124E","Estimate!!Total!!Other Native languages of North America!!Speak English "very well""
"B16001_124M","Margin of Error!!Total!!Other Native languages of North America!!Speak English "very well""
"B16001_125E","Estimate!!Total!!Other Native languages of North America!!Speak English less than "very well""
"B16001_125M","Margin of Error!!Total!!Other Native languages of North America!!Speak English less than "very well""
"B16001_126E","Estimate!!Total!!Other and unspecified languages"
"B16001_126M","Margin of Error!!Total!!Other and unspecified languages"
"B16001_127E","Estimate!!Total!!Other and unspecified languages!!Speak English "very well""
"B16001_127M","Margin of Error!!Total!!Other and unspecified languages!!Speak English "very well""
"B16001_128E","Estimate!!Total!!Other and unspecified languages!!Speak English less than "very well""
"B16001_128M","Margin of Error!!Total!!Other and unspecified languages!!Speak English less than "very well""
